par_id,community,text,label
3683,hopeless,Many us struggle particular behavior trait cant seem kick even though know please God These weaknesses leave us feeling defeated hopeless full despair There is But hope The transformative power Holy Spirit still available today Once surrender hearts Christ Romans 89 says we longer sinful nature ,1
7351,immigrant, On Sabah RCI    proud Najib  although statements RCI less good BN BN continuing  trying transparent   Vell said  nod Royal Commission Inquiry claims illegal immigrants fasttracked citizenship exchange voting BN coalition sustain hold power ,0
1270,refugee,Twentyone Bru refugees families travelled Wednesday camps Tripura Mizoram ,0
4060,refugee,UNICEF AfghanistanAFP  Mahdy MehraeenAfghan boy Murtaza Ahmadi proudly wears one jerseys sent idol Lionel Messi h The young Afghan boy captured hearts pictured plastic bag impromptu Lionel Messi sweater appealed UN refugee agency fleeing Afghanistan,1
4337,disabled,Though overt discrimination fallen  attitudes toward disabled lag overseas  sometimes harmful ways  In 2016  19 people facility disabled killed sleep man advocated euthanasia physically mentally impaired ,0
118,in-need,Such rhetoric anthropologist Laura Augusto calls rescue industry  term used describe people institutions conceptualize sex workers victims need saving Catherine MacKinnon argued example  in prostitution women sex men would never sex with,1
1449,disabled,The event also raises money charity Caudwell Children  supports disabled youngsters ,0
4781,poor-families,However  four five children admitted hospital  The fifth one admitted needs specific preparation operation done  Dr Majani explains  All young five patients come poor families born cardiac problem ,0
8297,homeless,Some pay price R1 meal Somtaki friends use atoken got homeless center street called The Carpenters Shop Somtaki gets small green token washes face clothes morning   You cant get token washed  explains ,1
1896,disabled,Texas Rangers third baseman Adrian Beltre  less week removed return active roster  could headed back disabled list ,0
7285,immigrant,Throughout life  man  The millionaire s son  The buccaneer businessman  The New York playboy  ever blonde immigrant bimbo side  two wed  And covetous eyes men s wives  though  said  nt always score front ,0
6970,vulnerable,For many years I writing speaking danger rise honest charismatic ideologue United States  someone could exploit fear anger long boiling much society  could direct away actual agents malaise vulnerable targets  That could indeed lead sociologist Bertram Gross called  friendly fascism  perceptive study 35 years ago  But requires honest ideologue  Hitler type  someone whose detectable ideology Me  The dangers however real many years  perhaps even light forces Trump unleashed ,0
3598,in-need,For unwavering commitment helping need Mother Teresa stands one greatest humanitarians 20th century He combined deep empathy fervent commitment cause incredible organizational managerial skills enabled build vast effective international missionary organization help poor citizens whole world,1
3859,hopeless,Anyhow  hopeless romantic still nt give  I still looking love  Should ve known better  After similar heartbreaks  I began identify pattern ,0
1620,homeless,Shumugum well known among local community charity missionary work homeless South Beach husband Jonathan Shumugum regularly fed them,1
4466,women,She said women deserve choice every woman around world have,1
3937,disabled,Labour Social Security Minister Derrick Kellier  piloting bill  said 10 per cent Jamaicans disabled argued bill  passed law  would pave way persons within society make contribution economic growth national development ,0
6567,hopeless,Here s quick review Day 1 The Sleepout  Big thanks everyone supported lads yesterday  Reminder donate http  wwwsleepoutdublinie  sleepout15 homelessnothopeless,0
606,vulnerable,Born Christian HUMILITY RESPECT especially elderly young society firm pertinent intact Likewise DEFENSE JUSTICE helpless vulnerable similar,1
1264,in-need,The European Union together Member States main donor humanitarian aid world Relief aid expression European solidarity towards people need around world Its aim save lives prevent alleviate human suffering protect integrity human dignity populations affected natural disasters manmade crises For information visit ECHO website,1
3618,disabled, Our budgets friendly disabled people It allocate funds helpless people need The finance minister retard ,1
1331,in-need,It wonderful someone use part accomplishments help Gods people You remembered success bank account business contributions support need explained Executive Chairman IPP,1
320,disabled,The home also takes care 180 disabled persons 34 aged addition children ,0
4541,immigrant,Youve seen photo quickly heralded iconic image nonviolent resistance 28yearold Evans standing calmly front armored officers protest police brutality Baton Rouge The image striking juxtaposition flowing sundress grace riot gear guns With world getting darker darker easy feel hopeless Evans reminder single person armed nothing courage significant impact h Model Immigrant Melania Trump,1
7611,hopeless,The mayor said goal free young people dependence poverty apathy hopelessness,1
9126,hopeless,Yes  lives NO HOPE  India third world country Dont let call centers big cities fool you Most country rural population illiterate hopeless,1
5912,refugee,He said   Failure meet goals set Paris Agreement mean future flooding  violent storms drought regular occurrences  well knockon impacts food insecurity  famine inevitable increase climate refugees ,0
5619,homeless,The order becomes necessary due concerns emanating activities black marketers  especially sell petroleum products inside plastic jerrycans  Force Public Relations Officer  ACP Olabisi Kolawole  said press release Tuesday  The IGP  issued directives Abuja Monday  said apart hardship act causing fuel buyers  also rendered innocent law abiding citizens homeless due fire outbreak jerrycan petrol storage  Kolawole revealed press release posted police s official Facebook page ,0
7960,immigrant,The people Africa deluded believing West development idea instilled early age continent dependent remittances overseas workers Borrowing words Thomas Hobbes I describe lives many African immigrants industrialized world solitary poor nasty cruel short,1
9309,refugee,Another recent achievement orderly dignified safe return 34052 Burundi refugees Mtabila camp allowing closure said,1
471,disabled,He praised government enacting laws favored persons disabilities time criticized enacting laws policies alone cannot help persons disabilities become independent,1
8054,homeless,Lady identified Bonnie Monroe revealed dinner children restaurant Georgia homeless man walked begging table table chased away  He gave left restaurant Monroe claimed God immediately spoke let go went ,1
5640,in-need,PETALING JAYA  As Umno fallen grace  Malaysia need new heroes protect serve nation  academic Bridget Welsh said ,0
7339,homeless,Teach Kids Give Back When Kang runs summer camps kids incorporates Contribution Fridayskids work team make sandwiches homeless donate food shelters Lets share food,1
1637,poor-families,Aruna Gopinath AG Members groups usually vulnerable gullible Most come poor backgrounds come poor families lack proper education Recruiters target individuals promise better life either life hereafter,1
3683,hopeless,Many us struggle certain behavior trait cant seem kick even though know please God These weaknesses leave us feeling defeated hopeless full despair The transforming power Holy Spirit still available today Once surrender hearts Christ Romans 89 says we controlled sinful nature,1
3907,disabled,Now  first time  Colin Denise spoken  misery  caused disabled son ,0
355,vulnerable,ABG zero tolerance approach human rights violations related misconduct  company said  adding employs combination male female grievance officers ensure women vulnerable groups get equal access remedies grievances ,0
1349,immigrant,The Buddhist nationalists Myanamr call Rohingya illegal immigrants Bangladesh rights organisations call one world s persecuted peoples  The 11 million stateless Rohingya people Myanmar say belong predecessors lived country generations  Thousands Rohingya people live refugee camps  deplorable conditions ,0
3924,poor-families,I believe situation get worse month fasting people willing donate food poor families including cities Lee said,1
8098,in-need,Ms Chua said   There many charities old folk  families need people disabilities  Just approach  happy willing help  ,0
5153,poor-families,Bhopal A day Prime Minister Narendra Modi launched 21 electronic mandis across country help farmers sell produce online away middlemen Madhya Pradesh Chief Minister Shivraj Singh Chouhan distributed tomatoes free poor families distributed prizes Vidisha crashed alltime low Rs 2 per kg enough recover sowing cost Not tomatoes also wholesale price onions come 20 30 paise per kg almost negligible several districts including Vidisha Neemuch Mandsaur farmers cannot even afford transport costs,1
763,migrant,Part result mass exodus Africans continent search greener pastures Europe It sad see many young people die trying cross Sahara Mediterranean reach paradise It saddens us televisions show hundreds migrants trapped sea fenced territories Europe running away from cant stay home This indeed million dollar question They escaping unmanaged economy would otherwise worked They getting away years bad political activism produced worst policies world ever seen,1
5734,hopeless,18 The main task generation give hope hopeless strength weak protection defenseless,1
3934,vulnerable,Hazara students option go university  No rickshaws allowed inside Marriabad Hazara town  ones inside ca nt go  Everything expensive Alamdar Road Hazara Town result  Even one proper varsity Quetta  Balochistan University  offers security Hazaras  especially commute  Their distinct features make vulnerable targeted attacks result Hazaras feel insecure   We prepared anything happen anywhere  Sometimes I get scared even I m home   says Kausar ,0
10400,homeless, I think theyre little behind me said Starc slept Sydney Cricket Ground turf Sunday night raise money local charity fights youth homelessness If going well They start bowling week Im little ahead Hopefully three us plane UAE ,1
2303,migrant,On second day blasting rundown migrant camp northern France new fires broke jungle Wednesday sending people fleeing meager belongings,1
7862,disabled,Former Paralympic gold medalist Liam Malone says given ticket parking disabled park recently  despite clearly artificial legs ,0
7809,in-need,The European Union opted bring Cine Europa Leyte one year strong typhoon struck country gesture local communities need respite ,0
6395,refugee,A kind woman rescued 11yearold girl ran away home Sri Lankan refugee camp near Madurai reunited family help police Tiruchi,1
3618,disabled,Our budgets friendly towards disabled people It allocate money helpless people need The finance minister retard  ,1
4039,refugee,Toronto  Canada long prided multicultural nation values inclusiveness open borders refugees immigrants regardless ethnicity religion,1
7264,immigrant,There evidence demand residency temporary immigrants would increase coming years ,0
5752,refugee,Even ban lifted  refugee admissions expected far lower recent years  Last month  Trump capped refugee admissions 45000 fiscal year started Oct 1  cut half 110000 limit put place year earlier President Barack Obama  And actual number admitted year could far lower Trump s 45000 cap  sets maximum minimum ,0
5253,hopeless,To   solution  short term buying social peace  short  staving rioting  burning looting  It easy live multiple visas suggest sophisticated  longterm solutions without recognition seething hopelessness newfound expectation new PNP Administration ,0
6924,hopeless,Richard referring Battle Greece  Allies hopelessly outnumbered outgunned  It final stages battle Wilson Handley wrote diary entry quoted start story ,0
2074,immigrant,Mu  oz Cesar Chavez Central Valley California 1965  part seminal labor movement demanding rights respect farmworkers  After stint organizing United Farmworkers Boston  met wife  Mu  oz settled four decades ago Little Village neighborhood Chicago  That s met Jesus  Chuy  Garc   political activist vibrant  independent movement pushing immigrants rights  labor rights basic services black Latino neighborhoods ,0
3461,homeless,Most us satisfied have You might stressed getting promotion dissatisfied jobsalary tense kids etc Dont forget people live difficult situations yourself homeless unemployed childless,1
7256,women,The undertone finished work women dared choose medium must made sort mistaken not cultural habit selfmockery They likely also candidates body dysmorphia andor real existential crisis Obviously lack selfesteem,1
8217,refugee,The attacks  many terror organisations involved  largely attributed Islamic State Taliban  The month began attack JaisheMohammad Kashmir  On 2 May  Islamic State militants killed least 37 Iraqi refugees wounded 100 others heading refugee camp Syria near borders Iraq ,0
6090,refugee,Certainly  end week  next US President office  least part  thanks proven ability   scapegoating refugees migrants  b  wooing neoNazis racial supremacists  c  attacking journalists judges   threatening jail opponents  e  urging nuclear proliferation  e  promising restrict women s rights control fertility ,0
2316,refugee,A refugee boy A refugee person story life family achievements hardships hopes desire safety belonging,1
1115,hopeless, We must sit start dialogue upset consider meaningful solutions give hope If hold it people greatly disturbed,1
5536,women,Three women died Tuesday Renault Clio collided Scania lorry A15 Baston 615am,0
3031,migrant,The security situation country volatile crimes carried illegal immigrants   Not people come country problems   said  noting many criminals ,0
4821,poor-families,However  243 crore poorest poor families covered Antyodaya Anna Yojana  AAY  scheme PDS would continue get 35 kg grains per family per month legal entitlement ,0
7917,poor-families,We cannot talk poverty nation without addressing utterly broken housing system Americas poor is More 50 percent poor families United States spend least half income housing Of families entitled housing benefit 1 4 receive it Is wonder struggling keep roof heads food table  let alone find way middle class,1
8559,disabled,Thankfully although Krishna Tulasi able completely escape group disabled people heart gold manages better many previous films disabled protagonists,1
2310,refugee,It also suspends arrival refugees least 120 days Syria barred indefinitely ,0
79,vulnerable,He said   To neutralise attraction terror ideology among youth vulnerable persons  International Community led United States America must support Nigeria fight corruption  repatriate stolen funds get economic recession quickly possible ,0
4171,poor-families,Children poor families sent betteroff families local dons intent chance better life highly vulnerable prostitution forced labour  including domestic servitude  Other atrisk children include involved street vending well engaging begging ,0
3399,refugee,For refugees seeking new life feeling Christmas unexpected luxury shadow longrunning conflict,1
5625,in-need,Britain even important today years ago  With shock Brexit  Britain needs fall back situation towards former lucrative colonies  sustain power  privilege  prosperity influence well influence within international community  Certainly  British Common Wealth Organisation receive British attention ever  When British part European Union  cared less commonwealth faced Europe  Now  gone  Britain found one step sublime ridiculous international relations ,0
7787,women,It s 2016  Do women still need stage naked protests heard ,0
457,immigrant,Mr Trump hinted could pardon former sheriff convicted targeting immigrants,0
6326,migrant,Shedding light late daughter Layla work foundation Christine said said is ,1
7100,women,Meanwhile confused men women children wandered aimlessly along streets littered overturned cars downed power lines choking stench rotting flesh,1
1126,homeless,Savita s cousin  Vanita  member Goa junior tchoukball team secured first place national event 2014 Punjab third place Mapusa 201415  could nt escape fate  She family rendered homeless  machinery flattened thatched dwelling within minutes ,0
6439,disabled,The Swedish prosecutor charge investigating whether police committed error fatally shooting 20yearold disabled man waved toy gun  said Friday emerged several officers opened fire   The man held weaponlike object officers opened fire judging situation threatening   Martin Tiden said  adding probe  routineamprdq ,0
8321,homeless, As I drove past line homeless people I thought something right here It really struck contrast comfortable homes none ,1
3343,migrant,Indeed  number studies shown Western countries people often vastly overestimate numbers Muslims present society  lead fears  invasion  loss cultural identity  figures certainly abused manipulated antiimmigrant antiMuslim agendas ,0
6671,migrant,Speaking shortly Hungarian parliament voted give army additional powers deal migrant crisis  Prime Minister Viktor Orban used incendiary language talk threat posed Europe refugees ,0
4279,homeless,Over past year helped bring various types support many individuals families need bringing together wanted help need painting decorating rundown family homes organizing trips underprivileged children helping homeless,1
3201,vulnerable,Meanwhile Social Family Development Minister Tan ChuanJin said ministry would focus strengthening marriages families providing good start life young people helping vulnerable promoting caring community,1
2874,hopeless,The project aims rescue rehabilitate enslaved abused women children education provide social Support Protection TLF seeks restore hope hopeless provide home homeless comfort needy support poor needy children missions,1
1607,vulnerable, Our genes genes babies vulnerable ways living   Dr Eric Butter  nt involved research  told Reuters Health ,0
8407,refugee,And temporary refugees became problem Izon sons daughters halls government Asaba capital delta state For three consecutive days literally begged transport tickets return bases Benue state When asked want go back Benue lifelines severely cut Unlawful Law And cant get involved forms business legal stress free,1
118,in-need,This rhetoric anthropologist Laura Agust  n calls  rescue industry   term used describe people institutions conceptualize sex workers victims need saving  Catherine MacKinnon argued  example   prostitution  women sex men would never otherwise sex ,1
6069,vulnerable,Dar es Salaam A network parliamentarians across Europe committed protecting sexual reproductive health worlds vulnerable people called Tanzania work family planning issues country easily transform middleincome economy,1
948,refugee,On Sunday  Suheil said organization fears tens thousands Syrian nationals fled refugee camps Lebanon Turkey  He said persecuted wholly dependent nongovernmental organizations wellbeing ,0
9823,in-need,Apparently Dr Ablohs eyes people gone transgender process broken individuals need repair No transgender people Only confused need treatment alleviate condition,1
5180,in-need,Desmond Tutus words apply 31yearold Aisha Allen president Gifts Love Ja She part Gods plan life I believe is,1
6923,homeless,Rose said attended several funerals homeless people Auckland City Mission lost contact families  That saddened ,0
6349,homeless,The police captain said Escobar apparently homeless robbery suspected motive attacks  police captain called crimes opportunity ,0
299,disabled,While speaking Eldoret interview  Eldoret West children s officer urged commissioners TSC ensure public schools across country teachers care welfare every student including disabled ,0
5431,homeless,Amidst adjustments repositionings mass Nigerians remained poor unhealthy uneducated unemployed homeless hungry destitute abandoned But first sign trouble direct access government resources want direct access play ethnic religious gender card get desired outcome,1
479,homeless,The Los Angeles Department City Planning released proposal Thursday said would help speed construction homeless housing ,0
822,in-need,These unfortunately reach limited numbers budgets necessarily restricted Within society birthdays memory departed relatives follow tradition giving alms like meals people homes giving gifts individuals The State society see lacking social services synonymous charity This situation Sri Lanka many decades Persons disabilities beneficiaries goodwill charity,1
7454,refugee,Benjamin said conclusion national security risk arrived based evidence several Syrian nationals  allegedly residing Antigua since 2013  smuggled boat caught US Coast Guard  They later applied refugee statuspolitical asylum taken land United States Virgin Islands  h ADVERTISEMENT,0
4567,refugee,Brussels  Top European Union official Donald Tusk denounced Russian air strikes Syria helping  murderous  government President Bashar alAssad triggering fresh waves refugees fleeing toward Europe ,0
1532,immigrant,My next project immigrant love story based loosely parents set Toronto  It brings us Italian Diasporas way necessary ,0
2455,in-need,After teacher 20 years  Barbara Stephenson decided need change Gecko Grove Fine Foods born ,0
1115,hopeless,We need sit down talk upset start looking meaningful solutions give hope Once country gotten people develop sense hopelessness people will much upset,1
2250,refugee,There many remarkable survival stories newspaper report Douglas Wilkie India correspondent The Sunday Sun reported stories epic bravery abject tragedy piled parties frail haggard Burmese refugees fought way North  Assam  A blind Indian led way two small sons crippled man carrying spare wooden leg way  lest crush rock  woman  exhausted feet worn bone  crawled last 22 miles More cheerfully pet believed fallen cliff brought days later Gurkha soldier  healthy litter puppies,1
3186,migrant,When politicians discuss immigration usually highflying terms Jeb Bush says immigrants create engine economic prosperity Politicians always talk importing best brightest abroad But New Yorks saloons capture gritty reality illegal immigration creating islands lawlessness people abused little consequence,1
4752,hopeless,The period 1995early 1996 overshadowed nonstop hartals  violence hopelessness AL stood firm demand caretaker government BNP remained determined hold election governance ,0
6303,vulnerable,Italy allocated 39 million euros emergency interventions support provision essential services South Sudanese refugees vulnerable segments hosting populations South Sudan neighbouring Countries  Uganda Ethiopia   Lack food assistance  compounded precarious hygiene sanitary conditions  determine real threat famine  epidemics tension refugees local populations ,0
8296,homeless,The ninepiece outfit rose rubble magnitude 70 quake struck small overcrowded Caribbean country  Up 300000 people died  Most towns flattened  leaving million Haitians homeless  many starving  A cholera epidemic broke  still rages ,0
8316,women, I nt angry someone tried touch breast  I angry women nt speak   told Dhaka Tribune   That s post  I wanted women understand nothing ashamed subject harassment  I wanted women speak  ,0
2838,immigrant,IrishCentral broadcasting live International Memorial Irelands Great Hunger grounds New York City Marine Hospital Quarantine Cemetery Staten Island Buried thousands Irish immigrants fled Ireland Great Famine 18451852 They died doorstep America never realizing dreams new lifeThis event organized Friends Abandoned Cemetery Staten Island FACSI For information history site please visit httpbitly2qL25mv,1
4980,disabled,Andrew Garfield Claire Foy inspiring biographical drama man dedicates entire life helping patients disabled,1
